8025	054	Handling fee - direct materials
8101	054	Oral examination
8102	054	Comprehensive oral examination
8104	054	Limited oral examination
8106	054	Special report
8107	054	Intraoral radiograph - periapical
8108	054	Intraoral radiographs - complete series
8109	054	Infection control/barrier techniques
8110	054	Sterilized instrumentation
8112	054	Intraoral radiograph - bitewing
8113	054	Intraoral radiograph - occlusal
8114	054	Extraoral radiograph - hand-wrist
8115	054	Extraoral radiograph - panoramic
8116	054	Extraoral radiograph - cephalometric
8117	054	Diagnostic models
8118	054	Extraoral radiograph - skull/facial bone
8119	054	Diagnostic models mounted
8120	054	Treatment plan completed
8121	054	Oral and/or facial image
8123	054	Caries susceptibility tests (by arrangement)
8124	054	Pulp tests
8129	054	Office/hospital visit - after regularly scheduled hours
8131	054	Emergency dental treatment
8132	054	Pulp removal (pulpectomy)
8133	054	Recement inlay, onlay, crown or veneer
8135	054	Remove inlay, onlay or crown
8136	054	Access through a prosthetic crown or inlay to facilitate root canal treatment
8137	054	Emergency crown (chair-side)
8138	054	Remove retention post (prefabricated or cast)
8139	054	Appointment not kept /30min
8140	054	House/extended care facility/hospital call
8141	054	Inhalation sedation - first 15 minutes or part thereof
8143	054	Inhalation sedation - each addnl 15 minutes
8144	054	Intravenous sedation
8145	054	Local anaesthetic - per visit
8146	054	Resin bonding for restorations
8147	054	Monitoring equipment for intravenous sedation
8151	054	Oral hygiene instruction
8153	054	Oral hygiene instruction - each additional visit
8154	054	Oral examination - oral hygienist
8155	054	Polishing - complete dentition
8157	054	Re-burnishing and polishing of restorations – complete dentition
8158	054	Enamel microabrasion
8159	054	Prophylaxis - complete dentition
8160	054	Removal of gross calculus
8161	054	Topical application of fluoride - child
8162	054	Topical application of fluoride - adult
8163	054	Dental sealant
8164	054	Limited oral examination - oral hygienist
8165	054	Sedative filling
8166	054	Application of desensitising resin, per tooth
8167	054	Application of desensitising medicament, per visit
8169	054	Occlusal guard
8171	054	Mouth protector
8172	054	Cost of orthotic appliance
8173	054	Space maintainer - fixed, per abutment
8175	054	Space maintainer - removable
8176	054	Periodontal screening
8177	054	Oral hygiene instruction (periodontally compromised patient)
8178	054	Oral hygiene instruction - each additional visit (periodontally compromised patient)
8179	054	Polishing - complete dentition (periodontally compromised patient)
8180	054	Prophylaxis - complete dentition (periodontally compromised patient)
8183	054	Therapeutic drug injection
8189	054	Re-examination - existing condition
8190	054	Consultation - second opinion or advice
8192	054	Suture - minor
8194	054	Cbct capture and interpretation with limited field of view - less than one whole jaw
8195	054	Cbct capture and interpretation with limited field of view of one full arch - mandible
8196	054	Cbct capture and interpretation with limited field of view of one full arch - maxilla without orbits and/or cranium
8197	054	Cbct capture and interpretation with limited field of view of both dental arches – without orbits and/or cranium
8198	054	Cbct capture and interpretation for tmj series including two or more exposures
8199	054	Cbct capture and interpretation with limited field of view of one full arch - maxilla with orbits and/or cranium
8200	054	Cbct capture and interpretation with field of view of both dental arches - with orbits and/or cranium
8201	054	Extraction - tooth or exposed tooth roots (first per quadrant)
8202	054	Extraction - each additional tooth or exposed tooth roots
8213	054	Surgical removal of residual roots, first tooth per quadrant
8214	054	Surgical removal of residual roots, second and subsequent teeth''s roots
8220	054	Cost of suture material
8228	054	Art restorations
8231	054	Complete dentures - maxillary and mandibular
8232	054	Complete denture - maxillary or mandibular
8233	054	Partial denture - resin base - one tooth
8234	054	Partial denture - resin base - two teeth
8235	054	Partial denture - resin base - three teeth
8236	054	Partial denture - resin base - four teeth
8237	054	Partial denture - resin base - five teeth
8238	054	Partial denture - resin base - six teeth
8239	054	Partial denture - resin base - seven teeth
8240	054	Partial denture - resin base - eight teeth
8241	054	Partial denture - resin base - nine or more teeth
8244	054	Immediate denture - maxillary
8245	054	Immediate denture - mandibular
8251	054	Clasp or rest - cast gold
8253	054	Clasp or rest - wrought gold
8255	054	Clasp or rest - stainless steel
8257	054	Bar - lingual or palatal
8259	054	Rebase complete or partial denture
8261	054	Remodel complete or partial denture
8263	054	Reline complete or partial denture (chair-side)
8265	054	Tissues conditioning per arch (including soft self-cure reline)
8267	054	Reline complete or partial denture
8269	054	Repair denture or other intra-oral appliance
8270	054	Add clasp to existing partial denture
8271	054	Add tooth to existing partial denture
8273	054	Impression to repair or modify a denture or other intra-oral appliance
8275	054	Adjust complete or partial denture
8277	054	Inlay in denture
8281	054	Partial denture - cast metal framework only
8301	054	Pulp cap - direct
8303	054	Pulp cap - indirect
8304	054	Rubber dam per arch
8306	054	Cost of mta
8307	054	Pulp amputation (pulpotomy)
8310	054	Supply of bleaching materials
8325	054	Internal bleaching - per tooth
8327	054	Internal bleaching - each additional visit
8328	054	Root canal obturation - anteriors and premolars - each additional canal
8329	054	Root canal therapy - anteriors and premolars – each additional canal
8330	054	Removal of root canal obstruction
8332	054	Root canal preparatory visit - single canal tooth
8333	054	Root canal preparatory visit - multi canal
8334	054	Re-treatment of previously completed root canal therapy, per canal
8335	054	Root canal obturation - anteriors and premolars - first canal
8336	054	Root canal obturation - posteriors - first canal
8337	054	Root canal obturation - posteriors – each additional canal
8338	054	Root canal therapy - anteriors and premolars – first canal
8339	054	Root canal therapy - posteriors - first canal
8340	054	Root canal therapy - posteriors – each additional canal
8341	054	Amalgam - one surface
8342	054	Amalgam - two surfaces
8343	054	Amalgam - three surfaces
8344	054	Amalgam - four or more surfaces
8345	054	Prefabricated post retention, per post (in addition to restoration)
8347	054	Pin retention - first pin (in addition to restoration)
8348	054	Pin retention - each additional pin (in addition to restoration)
8349	054	Carve restoration to accommodate existing removable prosthesis
8350	054	Resin crown - anterior primary tooth (direct)
8351	054	Resin - one surface, anterior
8352	054	Resin - two surfaces, anterior
8353	054	Resin - three surfaces, anterior
8354	054	Resin - four or more surfaces, anterior
8355	054	Veneer - resin (chair-side)
8357	054	Prefabricated metal crown
8361	054	Inlay - metal - one surface
8362	054	Inlay/onlay - metal - two surfaces
8363	054	Inlay/onlay - metal - three surfaces
8364	054	Inlay/onlay - metal - four or more surfaces
8366	054	Pin retention as part of cast restoration (any number of pins)
8367	054	Resin - one surface, posterior
8368	054	Resin - two surfaces, posterior
8369	054	Resin - three surfaces, posterior
8370	054	Resin - four or more surfaces, posterior
8371	054	Inlay - porcelain - one surface
8372	054	Inlay/onlay - porcelain - two surfaces
8373	054	Inlay/onlay - porcelain - three surfaces
8374	054	Inlay/onlay - porcelain - four or more surfaces
8375	054	Prefabricated resin crown
8376	054	Core build-up with prefabricated posts
8379	054	Cost of prefabricated posts
8381	054	Inlay - resin - one surface
8382	054	Inlay/onlay - resin - two surfaces
8383	054	Inlay/onlay - resin - three surfaces
8384	054	Inlay/onlay - resin - four or more surfaces
8391	054	Cast core with single post
8392	054	Cast post (each additional)
8397	054	Cast core with pins (any number of pins)
8398	054	Core build-up with pins
8401	054	Crown - full cast metal
8403	054	Crown - 3/4 cast metal
8404	054	Crown - 3/4 porcelain/ceramic
8405	054	Crown - resin laboratory
8407	054	Crown - resin with metal
8409	054	Crown - porcelain/ceramic
8410	054	Provisional crown
8411	054	Crown - porcelain veneered to metal
8413	054	Repair crown (permanent or provisional)
8414	054	Additional fee for provision of crown within an existing clasp or rest
8415	054	Pontic - ceramic
8416	054	Pontic - cast metal
8417	054	Pontic - resin with metal
8418	054	Pontic - porcelain veneered to metal
8419	054	Provisional pontic
8432	054	Inlay/onlay retainer - metal - two surfaces
8433	054	Inlay/onlay retainer - metal - three surfaces
8434	054	Inlay/onlay retainer - metal - four or more surfaces
8436	054	Inlay/onlay retainer - porcelain - two surfaces
8437	054	Inlay/onlay retainer - porcelain - three
8438	054	Inlay/onlay retainer - porcelain - four or more surfaces
8441	054	Crown retainer - full cast metal
8442	054	Crown retainer - 3/4 cast metal
8443	054	Crown retainer - ceramic
8444	054	Crown retainer - 3/4 ceramic
8445	054	Crown retainer - porcelain veneered to metal
8446	054	Crown retainer - resin with metal
8447	054	Provisional crown retainer
8499	054	General anaesthetic
8501	054	Consultation - prosthodontis
8503	054	Occlusion analysis mounted
8505	054	Pantographic recording
8506	054	Detailed consultation - prosthodontist
8507	054	Comprehensive consultation - prosthodontist
8508	054	Electrognathographic recording
8509	054	Electrognathographic recording with computer analysis
8514	054	Recement bridge
8516	054	Remove bridge
8517	054	Reimplantation of avulsed tooth (include stabilisation)
8518	054	Repair bridge
8533	054	Implant supported removable complete overdenture
8534	054	Implant supported removable partial overdenture
8536	054	Crown-implant/abutment supported crown – porcelain/ceramic
8537	054	Crown-implant/abutment supported crown – porcelain with metal
8538	054	Crown-implant/abutment supported crown – cast metal
8546	054	Implant supported crown retainer - ceramic
8547	054	Implant supported crown retainer – porcelain veneered to metal
8548	054	Crown retainer - implant/abutment supported – cast metal
8551	054	Occlusal adjustment - major
8552	054	Veneer - porcelain (laboratory)
8553	054	Occlusal adjustment - minor
8554	054	Veneer - resin (laboratory)
8560	054	Cost of ceramic block
8561	054	Gold foil class i or iv
8563	054	Gold foil class v
8565	054	Gold foil class iii
8570	054	Fabrication of computer generated ceramic restoration
8578	054	Prefabricated abutment
8579	054	Custom abutment
8580	054	Customised prefabricated abutment
8581	054	Cast core with single post
8582	054	Cast core with double post
8583	054	Cast core with triple post
8584	054	Connector bar - implant supported
8585	054	Connector bar
8586	054	Stress breaker
8587	054	Coping metal
8590	054	Implant maintenance procedures - per implant
8592	054	Crown - implant/abutment supported
8594	054	Repair of implant supported prosthesis
8595	054	Repair of implant abutment
8597	054	Locks and milled rests
8599	054	Precision attachment (removable denture)
8600	054	Cost of implant components
8611	054	Pontic - sanitary
8613	054	Pontic - posterior
8615	054	Pontic - anterior/premolar
8617	054	Retainer cast metal (maryland type retainer)
8631	054	Root canal therapy - first canal specialist prosthodontist
8633	054	Root canal therapy - each additional canal specialist prosthodontist
8635	054	Pexific  tion/  pexogenesis/rec  lcific  tion – per visit
8640	054	Removal of fractured root canal instrument
8643	054	Complete dentures - maxillary and mandibular. Only for prosthodontists
8645	054	Complete dentures - maxillary or mandibular. Only for prosthodontists
8649	054	Immediate denture - maxillary. Only for prosthodontist
8651	054	Immediate denture - mandibular. Only for prosthodontist
8652	054	Overdenture - complete
8653	054	Overdenture - partial
8654	054	Implant supported fixed-detachable complete overdenture
8655	054	Implant supported fixed-detachable partial overdenture
8657	054	Replacement of precision attachment
8658	054	Interim complete denture
8659	054	Interim partial denture
8660	054	Additional fee to implant supported fixed- detachable denture - per implant
8661	054	Diagnostic dentures (including tissue conditioning)
8662	054	Adjust complete or partial dentures (remounting)
8663	054	Metal base to complete denture
8664	054	Remount crown or bridge for adjustment
8667	054	Soft base to denture (heat cured)
8671	054	Partial denture - cast metal framework with resin denture base
8672	054	Altered cast technique (in addition to partial denture)
8674	054	Additive partial denture
8701	054	Consultation - periodontist
8703	054	Consultation - periodontist (detailed)
8705	054	Re-examination - periodontist
8707	054	Periodontal screening - periodontist
8723	054	Provisional splinting - extracoronal (wire) – per sextant
8725	054	Provisional splinting - extracoronal (wire plus resin) - per sextant
8727	054	Provisional splinting - intracoronal - per tooth
8731	054	Incision & drainage of abscess - intra-oral
8737	054	Root planing - four or more teeth per
8739	054	Root planing - one to three teeth per quadrant
8741	054	Gingivectomy/gingivoplasty - four or more teeth per quadrant
8743	054	Gingivectomy or gingivoplasty - one to three teeth per quadrant
8749	054	Flap procedure, root planing and one to three surgical services - per quadrant
8751	054	Flap procedure, root planing and one to three surgical services - per sextant
8753	054	Flap procedure, root planing and four or more surgical services - per quadrant
8755	054	Flap procedure, root planing and four or more surgical services - per sextant
8756	054	Clinical crown lengthening (isolated procedure)
8759	054	Pedicle flapped graft (isolated procedure)
8761	054	Masticatory mucosal autograft - one to four teeth (isolated procedure)
8762	054	Masticatory mucosal autograft - four or more teeth (isolated procedure)
8763	054	Wedge resection (isolated procedure)
8765	054	Hemisection of a tooth, resection of a root or tunnel preparation (isolated procedure)
8766	054	Bone regeneration/repair procedure - as part of a flap operation
8767	054	Bone regeneration/repair procedure - at a single site
8768	054	Unlisted periodontal procedure
8769	054	Membrane removal (used for guided tissue regeneration)
8770	054	Cost of bone regenerative/repair material
8772	054	Submucosal connective tissue autograft (isolated procedure)
8773	054	Cost of intrapocket chemotherapeutic agent
8781	054	Consultation - oral medicine (simple)
8782	054	Consultation - oral medicine (complex)
8783	054	Consultation - oral medicine (subsequent)
8787	054	Unlisted oral medicine procedure
8801	054	Consultation - orthodontist
8803	054	Consultation - orthodontis (subsequent, retention and post treatment)
8811	054	Tracing and analysis of extra-oral film
